               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
60;0.014643;0.0046891;0;0.97683;0.98582;0.99323;0.87019;0.0079508;0.002603;0;0.0073582;0.0073582;0.0073582
61;0.015016;0.0051434;0;0.99289;0.99103;0.99493;0.85868;0.0079992;0.0026485;0;0.0073134;0.0073134;0.0073134
62;0.013356;0.0047497;0;0.97899;0.99165;0.99444;0.86986;0.0081559;0.0022695;0;0.0072687;0.0072687;0.0072687
63;0.01487;0.0052087;0;0.9927;0.9639;0.98997;0.85232;0.0083439;0.0024468;0;0.0072239;0.0072239;0.0072239
64;0.014662;0.0048638;0;0.98588;0.99067;0.99472;0.87688;0.0081782;0.0021789;0;0.0071791;0.0071791;0.0071791
65;0.013447;0.004808;0;0.98356;0.97872;0.99314;0.87931;0.0076187;0.0025799;0;0.0071343;0.0071343;0.0071343
66;0.013724;0.0046886;0;0.95769;0.99291;0.99226;0.87216;0.0088995;0.0020564;0;0.0070896;0.0070896;0.0070896
67;0.013009;0.004484;0;0.99285;0.98465;0.99458;0.86851;0.0081887;0.0025964;0;0.0070448;0.0070448;0.0070448
68;0.01307;0.0044002;0;1;0.98947;0.995;0.86837;0.0084958;0.0026946;0;0.007;0.007;0.007
69;0.01435;0.0049503;0;0.96511;0.98099;0.99403;0.86397;0.0083497;0.0020355;0;0.0069552;0.0069552;0.0069552
70;0.013005;0.0047117;0;0.96529;0.98605;0.99323;0.87409;0.0078052;0.0023128;0;0.0069104;0.0069104;0.0069104
71;0.01271;0.0045746;0;0.98658;0.97163;0.99437;0.87503;0.0067438;0.0024729;0;0.0068657;0.0068657;0.0068657
72;0.013078;0.0044264;0;0.99899;0.97872;0.99452;0.87204;0.0081747;0.0021143;0;0.0068209;0.0068209;0.0068209
73;0.013946;0.0047438;0;1;0.98515;0.99493;0.88304;0.007144;0.0018815;0;0.0067761;0.0067761;0.0067761
74;0.012246;0.0046222;0;0.98964;0.98582;0.99458;0.8847;0.0077149;0.0021284;0;0.0067313;0.0067313;0.0067313
75;0.013243;0.0045966;0;0.99113;0.99291;0.99457;0.86151;0.007617;0.0023625;0;0.0066866;0.0066866;0.0066866
76;0.012643;0.0044225;0;0.98896;0.99291;0.99486;0.87053;0.0076595;0.002393;0;0.0066418;0.0066418;0.0066418
77;0.012342;0.0046015;0;0.97443;0.97163;0.98771;0.86415;0.0078552;0.002013;0;0.006597;0.006597;0.006597
78;0.01271;0.0045102;0;1;0.99735;0.995;0.89272;0.0073621;0.0018133;0;0.0065522;0.0065522;0.0065522
79;0.014107;0.0049047;0;0.99164;0.99291;0.99443;0.87056;0.0078273;0.0018105;0;0.0065075;0.0065075;0.0065075
80;0.012403;0.0044398;0;1;0.98961;0.995;0.87178;0.0077386;0.0019686;0;0.0064627;0.0064627;0.0064627
81;0.012024;0.004776;0;0.99766;0.98582;0.99493;0.88119;0.0075652;0.0020883;0;0.0064179;0.0064179;0.0064179
82;0.011771;0.0045184;0;0.98311;0.99291;0.99457;0.90181;0.0069211;0.0019893;0;0.0063731;0.0063731;0.0063731
83;0.012329;0.0042749;0;0.98597;0.99703;0.99472;0.90113;0.0070954;0.0017788;0;0.0063284;0.0063284;0.0063284
84;0.012387;0.0044578;0;0.97495;0.98582;0.99394;0.87714;0.007579;0.0018996;0;0.0062836;0.0062836;0.0062836
85;0.012403;0.0043632;0;0.99892;0.98582;0.99493;0.879;0.007045;0.0022118;0;0.0062388;0.0062388;0.0062388
86;0.012003;0.0047506;0;0.99327;0.98582;0.99493;0.88938;0.0076849;0.0019322;0;0.006194;0.006194;0.006194
87;0.012019;0.0045469;0;0.99295;0.99836;0.99479;0.88222;0.0075797;0.0018603;0;0.0061493;0.0061493;0.0061493
88;0.011819;0.0043282;0;0.979;0.99196;0.99385;0.88096;0.0070754;0.0018514;0;0.0061045;0.0061045;0.0061045
89;0.011461;0.0040362;0;0.99295;0.99857;0.99465;0.89659;0.0068936;0.0017669;0;0.0060597;0.0060597;0.0060597
90;0.011614;0.0043911;0;0.97229;0.99524;0.99451;0.88974;0.0071484;0.0020693;0;0.0060149;0.0060149;0.0060149
91;0.011252;0.0041225;0;1;0.98939;0.995;0.88764;0.007206;0.0020456;0;0.0059701;0.0059701;0.0059701
92;0.01051;0.004073;0;0.99296;0.99996;0.99472;0.88395;0.0080005;0.0018198;0;0.0059254;0.0059254;0.0059254
93;0.010691;0.0041501;0;0.97937;0.99291;0.99436;0.89975;0.0071919;0.0017417;0;0.0058806;0.0058806;0.0058806
94;0.0117;0.0042929;0;0.99118;0.97872;0.99294;0.87621;0.0079043;0.0020424;0;0.0058358;0.0058358;0.0058358
95;0.011032;0.0043606;0;0.986;0.99874;0.99422;0.89111;0.0072955;0.0018592;0;0.005791;0.005791;0.005791
96;0.011809;0.0041929;0;0.98577;0.99291;0.99493;0.88278;0.007815;0.0020371;0;0.0057463;0.0057463;0.0057463
97;0.011842;0.0043204;0;0.99109;0.99291;0.99429;0.8842;0.0075558;0.0018704;0;0.0057015;0.0057015;0.0057015
98;0.011173;0.0036955;0;0.97696;0.98582;0.99378;0.89421;0.0079018;0.0018811;0;0.0056567;0.0056567;0.0056567
99;0.010897;0.0038904;0;1;0.99282;0.995;0.893;0.0072671;0.0021705;0;0.0056119;0.0056119;0.0056119
100;0.010813;0.0040593;0;0.9929;0.99173;0.99486;0.87904;0.0072416;0.0021225;0;0.0055672;0.0055672;0.0055672
101;0.011043;0.0040814;0;0.99988;1;0.995;0.89099;0.0070338;0.0018672;0;0.0055224;0.0055224;0.0055224
